Title,Description,Source,Published At,URL
Supply chain management vendor Blue Yonder succumbs to ransomware,"And it looks like major UK retailers that rely on it are feeling the pinch
US-based supply chain SaaS vendor Blue Yonder has revealed a service disruption caused by ransomware, and its customers are reportedly struggling to get goods onto shelves as a result.…",Theregister.com,2024-11-26T01:27:10Z,https://www.theregister.com/2024/11/26/blue_yonder_ransomware/
Chinese chip firms say they can withstand new US export curbs,Chinese chip companies targeted by Washington with fresh export controls have vowed to speed up supply chain localisation and said they would be able to...,Yahoo Entertainment,2024-12-03T07:36:06Z,https://ca.finance.yahoo.com/news/chinese-chip-firms-withstand-us-073606233.html
Tim Cook and 20 other CEOs met China’s premier to discuss potential issues with Trump plans,"Apple CEO Tim Cook and more than 20 other chief execs met China’s premier today to discuss potential trade disruption once Trump takes office in January.



However, the report makes it sound like the meeting didn’t achieve much, with some saying it felt scri…",9to5Mac,2024-11-25T15:12:00Z,https://9to5mac.com/2024/11/25/tim-cook-and-20-other-ceos-met-chinas-premier-to-discuss-potential-issues-with-trump-plans/
Starbucks faces disruptions following ransomware attack on software supplier,The coffee giant said that an outage at a third-party vendor has disrupted a back-end Starbucks process that enables employee scheduling and time tracking.  ...,Yahoo Entertainment,2024-11-25T20:17:34Z,https://finance.yahoo.com/news/starbucks-faces-disruptions-following-ransomware-201734823.html
25% tariff on imports? Consumers doomed?,"A 25% tariff on Canadian and Mexican imports could drive up car prices, disrupt supply chains, and strain automakers already grappling with industry-wide challenges.",Autoblog,2024-11-29T19:53:47Z,https://www.autoblog.com/news/25-percent-tariff-on-imports-consumers-doomed
Trump’s proposed tariffs could reshape the auto industry,"A 25% tariff on Canadian and Mexican imports could drive up car prices, disrupt supply chains, and strain automakers already grappling with industry-wide challenges.",Autoblog,2024-11-29T19:53:47Z,https://www.autoblog.com/news/trumps-proposed-tariffs-could-reshape-the-auto-industry
Starbucks has gone back to pen and paper after vendor ransomware attack,Employee pay and schedules are being tracked on paper at Starbucks following supply chain attack.,TechRadar,2024-11-27T10:52:12Z,https://www.techradar.com/pro/security/starbucks-has-gone-back-to-pen-and-paper-after-vendor-ransomware-attack
Starbucks and Grocery Stores Face Disruption after Ransomware Attack on Blue Yonder,Supply chain management provider Blue Yonder confirmed it was hit by ransomware attack,Infosecurity Magazine,2024-11-26T12:15:00Z,https://www.infosecurity-magazine.com/news/starbucks-sainsburys-ransomware/
Wake Up And Smell The Ransomware—Starbucks Impacted By Cyber Attack,A ransomware attack on supply chain vendor Blue Yonder has impacted Starbucks in the U.S. and supermarkets in the U.K. — Here’s what we know so far.,Forbes,2024-11-27T11:47:37Z,https://www.forbes.com/sites/daveywinder/2024/11/27/wake-up-and-smell-the-ransomware-starbucks-impacted-by-ai-cyber-attack/
Wake Up And Smell The Ransomware—Starbucks Impacted By AI Cyber Attack,A ransomware attack on supply chain vendor Blue Yonder has impacted Starbucks in the U.S. and supermarkets in the U.K. — Here’s what we know so far.,Forbes,2024-11-26T05:36:26Z,https://www.forbes.com/sites/daveywinder/2024/11/26/wake-up-and-smell-the-ransomware-starbucks-impacted-by-ai-cyber-attack/
Can digital resilience be achieved beyond the IT perimeter?,To meet the current and future needs for digital resilience organizations need to see their entire digital supply chain.,TechRadar,2024-12-13T15:21:15Z,https://www.techradar.com/pro/can-digital-resilience-be-achieved-beyond-the-it-perimeter
Blue Yonder ransomware termites claim credit,"Also: Mystery US firm compromised by Chinese hackers for months; Safe links that aren't; Polish spy boss arrested, and more Infosec in brief  Still smarting over that grocery disruption caused by a ransomware attack on supply chain SaaS vendor Blue Yonder? We…",Theregister.com,2024-12-09T03:01:13Z,https://www.theregister.com/2024/12/09/security_in_brief/
Queries mount as The Trade Desk takes an unprecedented step into TV’s adland,Industry peers want to now more about the DSP’s trading deals and broader GTM strategy as it heralds greater CTV efficiencies.,Digiday,2024-11-21T05:01:00Z,http://digiday.com/future-of-tv/queries-mount-as-the-trade-desk-takes-an-unprecedented-step-into-tvs-adland/
DHS lays out its ground rules for businesses using AI,US Department of Homeland Security issues guidance on the safe and responsible use of AI for critical infrastructure.,TechRadar,2024-11-19T17:01:00Z,https://www.techradar.com/pro/dhs-lays-out-its-ground-rules-for-businesses-using-ai
Five Ways Financial Services Organizations Can Stop Infiltration,Leveraging these five best practices for financial services businesses will help prevent or mitigate infiltration by bad actors:,Forbes,2024-11-21T11:30:00Z,https://www.forbes.com/councils/forbestechcouncil/2024/11/21/five-ways-financial-services-organizations-can-stop-infiltration/
US drone maker Skydio faces battery crisis amid China sanctions,"The largest US drone maker struggles with supply chain disruption after selling drones to Taiwan's fire departments, with current inventory projected to last until spring 2025.",Digitimes,2024-12-02T00:44:50Z,https://www.digitimes.com/news/a20241128PD213/taiwan-fire-sales-dji-government.html
"South Korea shocker: US treasuries, US$, Yen, gold and crypto will be rallying today: Ajay Bagga","AJaj Bagga predicts an increase in crypto and gold prices due to political instability in South Korea. There will be a flight to safety, boosting investments in the yen, dollar, and US treasuries. South Korea's status as a key hub in global tech supply chains…",The Times of India,2024-12-04T04:41:17Z,https://economictimes.indiatimes.com/markets/expert-view/south-korea-shocker-us-treasuries-us-yen-gold-and-crypto-will-be-rallying-today-ajay-bagga/articleshow/115958331.cms
Woolies customers abusing staff as warehouse workers' strike disrupts supply chain,"Unions say the supermarket giant was warned of the consequences of a battle with its warehouse workers and that ""now is the time"" to improve their conditions.",ABC News (AU),2024-11-28T03:37:53Z,https://www.abc.net.au/news/2024-11-28/woolworths-staff-abused-as-strike-causes-stock-shortage/104657606
Protecting Tomorrow's World: Shaping the Cyber-Physical Future,"The lines between digital and physical realms increasingly blur. While this opens countless opportunities for businesses, it also brings numerous challenges. In our recent webinar, Shaping the Cyber-Physical Future: Trends, Challenges, and Opportunities for 2…",Internet,2024-11-29T11:00:00Z,https://thehackernews.com/2024/11/protecting-tomorrows-world-shaping.html
